GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adminSystem,es.uniovi.asw.factorias,CartasPDFFactory,0,7,0,0,0,2,0,2,0,2
adminSystem,es.uniovi.asw.factorias,ParserXLSFactory,0,7,0,0,0,2,0,2,0,2
adminSystem,es.uniovi.asw.factorias,CartasTXTFactory,0,7,0,0,0,2,0,2,0,2
adminSystem,es.uniovi.asw.dbUpdate,WreportR,30,9,0,0,7,2,1,1,1,1
adminSystem,es.uniovi.asw.dbUpdate,InsertP,37,68,11,5,8,22,7,3,0,2
adminSystem,es.uniovi.asw.dbUpdate,Jpa,33,49,1,5,11,15,4,6,3,4
adminSystem,es.uniovi.asw.parser,ParserXLS,7,79,0,2,4,18,0,3,0,2
adminSystem,es.uniovi.asw.parser,GeneradorCartasPDF,65,12,0,0,10,6,0,2,0,2
adminSystem,es.uniovi.asw.parser,GeneradorCartasTXT,25,25,0,0,4,6,0,2,0,2
adminSystem,es.uniovi.asw.parser,InsertR,0,49,2,2,0,11,2,4,0,4
adminSystem,es.uniovi.asw.parser,RCensus,0,102,1,5,0,27,1,5,0,3
adminSystem,es.uniovi.asw,LoadUsers,44,254,4,20,15,53,4,16,0,8
adminSystem,es.uniovi.asw.reportWriter,WreportP,3,36,0,0,2,7,0,2,0,2
adminSystem,es.uniovi.asw.util,GeneradorPasswords,4,291,0,4,2,12,0,5,0,3
adminSystem,es.uniovi.asw.util,Comprobador,39,53,8,14,7,17,7,8,2,2
adminSystem,es.uniovi.asw.model,User,67,85,8,6,10,33,8,15,2,14
